# Horiz displ, [mm]   Reaction force, [N]
0.0000           0.0000
0.0010           78.3810
0.0020           154.3845
0.0030           172.3287
0.0040           177.0168
0.0050           181.4007
0.0060           185.5795
0.0070           189.6195
0.0080           193.5650
0.0090           197.4454
0.0100           201.2798
0.0110           205.0811
0.0120           208.8580
0.0130           212.6163
0.0140           216.3602
0.0150           220.0928
0.0160           223.8161
0.0170           227.5319
0.0180           231.2415
0.0190           234.9458
0.0200           238.6457
0.0210           242.3419
0.0220           246.0349
0.0230           249.7252
0.0240           253.4132
0.0250           257.0988
0.0260           260.7834
0.0270           264.4659
0.0280           268.1477
0.0290           271.8278
0.0300           275.5076
0.0310           279.1860
0.0320           282.8640
0.0330           286.5412
0.0340           290.2177
0.0350           293.8943
0.0360           297.5699
0.0370           301.2455
0.0380           304.9206
0.0390           308.5955
0.0400           312.2702
0.0410           315.9447
0.0420           319.6189
0.0430           323.2931
0.0440           326.9671
0.0450           330.6410
0.0460           334.3148
0.0470           337.9885
0.0480           341.6622
0.0490           345.3358
0.0500           349.0094
0.0510           352.6829
0.0520           356.3564
0.0530           360.0298
0.0540           363.7034
0.0550           367.3767
0.0560           371.0503
0.0570           374.7235
0.0580           378.3972
0.0590           382.0704
0.0600           385.7442
0.0610           389.4176
0.0620           393.0911
0.0630           396.7646
0.0640           400.4382
0.0650           404.1117
0.0660           407.7854
0.0670           411.4590
0.0680           415.1326
0.0690           418.8063
0.0700           422.4801
0.0710           426.1538
0.0720           429.8276
0.0730           433.5014
0.0740           437.1753
0.0750           440.8492
0.0760           444.5232
0.0770           448.1972
0.0780           451.8712
0.0790           455.5453
0.0800           459.2194
0.0810           462.8936
0.0820           466.5678
0.0830           470.2421
0.0840           473.9163
0.0850           477.5908
0.0860           481.2649
0.0870           484.9397
0.0880           488.6141
0.0890           492.2887
0.0900           495.9633
0.0910           499.6380
0.0920           503.3127
0.0930           506.9874
0.0940           510.6623
0.0950           514.3372
0.0960           518.0121
0.0970           521.6871
0.0980           525.3622
0.0990           529.0372
0.1000           532.7124
