# Horiz displ, [mm]   Reaction force, [N]
0.0000           0.0000
0.0040           182.8408
0.0080           365.6815
0.0120           548.5219
0.0160           731.3623
0.0200           914.2026
0.0240           1097.0427
0.0280           1279.8828
0.0320           1462.7228
0.0360           1645.5628
0.0400           1828.4028
0.0440           2011.2427
0.0480           2184.1162
0.0520           2341.7355
0.0560           2493.9506
0.0600           2632.4610
0.0640           2750.3799
0.0680           2852.9343
0.0720           2941.1217
0.0760           3020.0653
0.0800           3092.8249
0.0840           3157.8871
0.0880           3215.9368
0.0920           3269.4047
0.0960           3319.9210
0.1000           3366.7510
0.1040           3409.6341
0.1080           3446.9163
0.1120           3478.1317
0.1160           3504.8034
0.1200           3529.6340
0.1240           3552.4833
0.1280           3572.2805
0.1320           3589.4747
0.1360           3605.4458
0.1400           3621.0096
0.1440           3636.0710
0.1480           3650.8904
0.1520           3665.4811
0.1560           3679.9157
0.1600           3694.1000
0.1640           3708.1371
0.1680           3721.8140
0.1720           3735.3667
0.1760           3748.7715
0.1800           3761.9967
0.1840           3775.0360
0.1880           3787.9241
0.1920           3800.6369
0.1960           3813.1835
0.2000           3825.5450
0.2040           3837.8029
0.2080           3849.8756
0.2120           3861.8723
0.2160           3873.8242
0.2200           3885.7429
0.2240           3897.6299
0.2280           3909.4868
0.2320           3921.2309
0.2360           3932.8975
0.2400           3944.5341
0.2440           3956.0886
0.2480           3967.6010
0.2520           3979.0381
0.2560           3990.4492
0.2600           4001.8388
0.2640           4013.1394
0.2680           4024.3513
0.2720           4035.4851
0.2760           4046.5990
0.2800           4057.6947
0.2840           4068.7729
0.2880           4079.8343
0.2920           4090.8797
0.2960           4101.9095
0.3000           4112.9109
0.3040           4123.8663
0.3080           4134.7693
0.3120           4145.6528
0.3160           4156.5233
0.3200           4167.3677
0.3240           4178.1955
0.3280           4189.0118
0.3320           4199.7946
0.3360           4210.5239
0.3400           4221.2134
0.3440           4231.8918
0.3480           4242.5594
0.3520           4253.2164
0.3560           4263.8633
0.3600           4274.4264
0.3640           4284.9647
0.3680           4295.4924
0.3720           4306.0097
0.3760           4316.5170
0.3800           4327.0144
0.3840           4337.4931
0.3880           4347.9500
0.3920           4358.3854
0.3960           4368.7610
0.4000           4379.1235
0.4040           4389.4759
0.4080           4399.8183
0.4120           4410.1200
0.4160           4420.3897
0.4200           4430.6488
0.4240           4440.8976
0.4280           4451.1363
0.4320           4461.3649
0.4360           4471.5837
0.4400           4481.7928
0.4440           4491.9923
0.4480           4502.1825
0.4520           4512.3634
0.4560           4522.5353
0.4600           4532.6981
0.4640           4542.8521
0.4680           4552.9974
0.4720           4563.1341
0.4760           4573.2442
0.4800           4583.3456
0.4840           4593.4384
0.4880           4603.5227
0.4920           4613.5986
