# Horiz displ, [mm]   Reaction force, [N]
0.0000           0.0000
0.0040           179.4744
0.0080           358.9485
0.0120           538.4223
0.0160           717.8959
0.0200           897.3691
0.0240           1076.8420
0.0280           1256.3146
0.0320           1435.7869
0.0360           1615.2589
0.0400           1794.7305
0.0440           1974.2017
0.0480           2141.1867
0.0520           2296.8981
0.0560           2448.3568
0.0600           2589.7716
0.0640           2711.2695
0.0680           2814.8712
0.0720           2902.0089
0.0760           2981.4216
0.0800           3054.8485
0.0840           3120.2647
0.0880           3179.8194
0.0920           3233.9987
0.0960           3284.9846
0.1000           3332.4053
0.1040           3376.4983
0.1080           3415.5950
0.1120           3450.3283
0.1160           3479.3392
0.1200           3505.2084
0.1240           3529.1925
0.1280           3550.5687
0.1320           3569.1176
0.1360           3586.2914
0.1400           3602.5024
0.1440           3618.3143
0.1480           3633.7820
0.1520           3649.0180
0.1560           3663.9973
0.1600           3678.8047
0.1640           3693.3998
0.1680           3707.7241
0.1720           3721.6518
0.1760           3735.3603
0.1800           3748.9594
0.1840           3762.3164
0.1880           3775.3806
0.1920           3788.3479
0.1960           3801.1242
0.2000           3813.7395
0.2040           3826.2729
0.2080           3838.6033
0.2120           3850.8114
0.2160           3862.9417
0.2200           3875.0267
0.2240           3887.0689
0.2280           3899.0706
0.2320           3911.0112
0.2360           3922.8762
0.2400           3934.6278
0.2440           3946.3087
0.2480           3957.9432
0.2520           3969.4957
0.2560           3981.0163
0.2600           3992.5086
0.2640           4003.9670
0.2680           4015.2631
0.2720           4026.4945
0.2760           4037.7013
0.2800           4048.8845
0.2840           4060.0452
0.2880           4071.1845
0.2920           4082.3032
0.2960           4093.4024
0.3000           4104.4701
0.3040           4115.4774
0.3080           4126.4632
0.3120           4137.4105
0.3160           4148.3421
0.3200           4159.2524
0.3240           4170.1380
0.3280           4181.0094
0.3320           4191.8457
0.3360           4202.6619
0.3400           4213.4432
0.3440           4224.1800
0.3480           4234.9034
0.3520           4245.6143
0.3560           4256.2866
0.3600           4266.8981
0.3640           4277.4966
0.3680           4288.0827
0.3720           4298.6568
0.3760           4309.2191
0.3800           4319.7702
0.3840           4330.2976
0.3880           4340.8022
0.3920           4351.2756
0.3960           4361.7230
0.4000           4372.1464
0.4040           4382.5461
0.4080           4392.9169
0.4120           4403.2781
0.4160           4413.6267
0.4200           4423.9640
0.4240           4434.2903
0.4280           4444.6058
0.4320           4454.9010
0.4360           4465.1806
0.4400           4475.4497
0.4440           4485.7084
0.4480           4495.9570
0.4520           4506.1954
0.4560           4516.4239
0.4600           4526.6427
0.4640           4536.8519
0.4680           4547.0490
