# eng strain 12 [-]   Cauchy stress 12, [MPa]
0.0000             0.0000
0.0020             153.8462
0.0040             234.1276
0.0060             240.5167
0.0080             246.9059
0.0100             253.2952
0.0120             259.6846
0.0140             266.0740
0.0160             272.4635
0.0180             278.8530
0.0200             285.2425
0.0220             291.6320
0.0240             298.0215
0.0260             304.4110
0.0280             310.8005
0.0300             317.1900
0.0320             323.5794
0.0340             329.9689
0.0360             336.3584
0.0380             342.7478
0.0400             349.1373
0.0420             355.5267
0.0440             361.9161
0.0460             368.3055
0.0480             374.6949
0.0500             381.0843
0.0520             387.4737
0.0540             393.8630
0.0560             400.2524
0.0580             406.6417
0.0600             413.0310
0.0620             419.4204
0.0640             425.8097
0.0660             432.1989
0.0680             438.5882
0.0700             444.9775
0.0720             451.3667
0.0740             457.7560
0.0760             464.1452
0.0780             470.5344
0.0800             476.9236
0.0820             483.3128
0.0840             489.7020
0.0860             496.0911
0.0880             502.4803
0.0900             508.8694
0.0920             515.2585
0.0940             521.6476
0.0960             528.0367
0.0980             534.4257
0.1000             540.8148
0.1020             547.2038
0.1040             553.5928
0.1060             559.9818
0.1080             566.3708
0.1100             572.7598
0.1120             579.1488
0.1140             585.5377
0.1160             591.9266
0.1180             598.3155
0.1200             604.7044
0.1220             611.0933
0.1240             617.4821
0.1260             623.8710
0.1280             630.2598
0.1300             636.6486
0.1320             643.0374
0.1340             649.4261
0.1360             655.8149
0.1380             662.2036
0.1400             668.5923
0.1420             674.9810
0.1440             681.3697
0.1460             687.7583
0.1480             694.1470
0.1500             700.5356
0.1520             706.9242
0.1540             713.3128
0.1560             719.7013
0.1580             726.0899
0.1600             732.4784
0.1620             738.8669
0.1640             745.2553
0.1660             751.6438
0.1680             758.0322
0.1700             764.4206
0.1720             770.8090
0.1740             777.1974
0.1760             783.5857
0.1780             789.9741
0.1800             796.3624
0.1820             802.7507
0.1840             809.1389
0.1860             815.5272
0.1880             821.9154
0.1900             828.3036
0.1920             834.6917
0.1940             841.0799
0.1960             847.4680
0.1980             853.8561
